post_id;is_reel;views;likes;comments;followers;publish_date;is_sponsored;is_ppl
___4HBMSZ9;1;0;70;12;143063;2016-01-01 14:35:10;0;0
__-BacJgDm;0;0;179;6;1557;2016-01-01 23:18:58;0;0
__dFjsCV8l;0;0;0;0;14125;2016-01-01 09:31:10;0;0
__eTSdsJKf;1;0;60;0;921;2016-01-01 18:41:47;0;0
__hv0DAFW7;1;0;20;1;20522;2016-01-01 19:11:53;0;0
__lanBheor;0;0;6;2;548;2016-01-01 00:00:00;0;0
__lB5vSrkL;1;0;9;0;354;2016-01-01 19:40:34;0;0
__LfD9Ku62;1;0;72;6;31466;2016-01-01 15:57:22;0;0
__MRFOhaaa;1;0;120;0;6877;2016-01-01 16:04:12;0;0
__NT-oy2DC;1;0;52;1;852;2016-01-01 16:13:20;0;0
__rk7PE-JM;1;0;19118;164;1089744;2016-01-01 20:37:47;0;0
__X5L2uTks;1;0;8;0;292;2016-01-01 17:45:47;0;0
_-7wPIE0OV;1;0;1;0;520;2016-01-01 13:39:54;0;0
_-8C1Lk0PP;1;0;0;0;520;2016-01-01 13:42:26;0;0
_-g8ofPEAZ;1;0;39;2;57810;2016-01-01 09:45:40;0;1
_-N90KsuEv;1;0;27;0;6783;2016-01-01 06:59:48;0;0
_-nxThvIcZ;1;0;33;0;2336;2016-01-01 10:45:17;0;0
_-qtxwHGjP;0;0;3;0;757;2016-01-01 11:11:01;0;0
_-Yn5rigVv;1;0;160;9;14136;2016-01-01 08:32:56;0;0
_00_BhnKKi;0;0;401;2;84232;2015-12-28 15:28:21;0;0
_04ciPDbC6;0;0;11;0;7120;2015-12-28 00:00:00;0;0
_0KSVtMgwa;1;0;54;7;1842;2015-12-28 09:15:15;0;0
_0rgsCtZIi;0;0;4;2;21988;2015-12-28 14:05:34;0;0
_0rlUftZIp;0;0;5;0;21988;2015-12-28 14:06:12;0;0
_0rqjeNZI4;0;0;9;2;21988;2015-12-28 14:06:54;0;0
_0Uf-nMtPB;0;0;60;0;7357;2015-12-28 10:44:29;0;0
_0UVwwMtOp;0;0;50;0;7357;2015-12-28 10:43:06;0;0
_0ZJrelQCw;1;0;14;1;321;2015-12-28 11:25:08;0;0
_1-vj8S0A8;1;0;30;3;39853;2015-12-29 02:12:51;0;0
_11wy0n2KR;1;0;20;0;13136;2015-12-29 00:54:23;0;0
_13wEbl0mS;1;0;82;6;9068;2015-12-29 01:11:46;0;0
_1CLvwOhFw;1;0;4;0;846;2015-12-28 17:23:41;0;0
_1dRKDlLi-;0;0;61;3;14865;2015-12-28 21:20:21;0;0
_1hDSmR6eY;0;0;53;5;337;2015-12-28 21:53:24;0;0
_1kCcestB4;0;0;97;1;7357;2015-12-28 22:19:30;0;0
_1v6jfChK7;0;-1;11;0;112;2015-12-28 15:03:17;0;0
_29wyyR3D_;1;0;12;0;439;2015-12-29 11:23:32;0;0
_2BVRUMUjy;1;0;25;2;717;2015-12-29 02:35:29;0;0
_2ddtEHZIg;1;0;13;0;1108;2015-12-29 06:41:18;0;0
_2x39SmFij;1;0;16;1;579;2015-12-29 09:39:39;0;0
_3_8WerDOR;0;0;9;1;525;2015-12-29 21:01:49;0;0
_3-mfZGAsq;1;0;34;4;17445;2015-12-29 20:50:06;0;0
_30tOyLDM8;0;0;7;0;525;2015-12-29 19:23:38;0;0
_33vhgKc9a;1;0;578;8;4076;2015-12-29 19:50:10;0;0
_36kagLDF0;0;0;3;0;525;2015-12-29 20:14:52;0;0
_36tTALDGB;0;0;7;0;525;2015-12-29 20:16:05;0;0
_36V4qNAqt;1;0;15;0;2659;2015-12-29 20:12:53;0;0
_3geFTkdJE;1;0;4;0;3717;2015-12-29 16:26:48;0;0
_3jIkYpC9Y;1;0;234;52;9930;2015-12-29 16:50:05;0;0
_3krRljt4g;0;0;434;4;359155;2015-12-29 17:03:34;0;0
_3LCnYNgaA;0;0;73;0;521;2015-12-29 13:19:33;0;0
_3MEETxuYr;1;0;118;3;11440;2015-12-29 13:28:30;0;0
_4CHyUMN3-;0;0;6;1;2613;2015-12-29 21:20:52;0;0
_4Djcvos48;1;0;21;4;3477;2015-12-29 21:33:22;0;0
_4N9Auh0jG;1;0;3;1;521;2015-12-29 23:04:15;0;0
_4xY6VSykf;0;0;15;5;2769;2015-12-30 04:13:53;0;0
_4Yo40gFUW;1;0;19;0;20522;2015-12-30 00:37:37;0;0
_56Ed_CuWA;0;0;190;4;1172433;2015-12-30 14:48:59;0;0
_5aWY7qrcY;1;0;38;6;1309;2015-12-30 10:11:49;0;0
_5JIP1lKO5;0;0;224;16;14288;2015-12-30 07:41:20;0;0
_5mHOTLou6;1;0;745;2;6219;2015-12-30 11:54:36;0;0
_5PyQwh647;1;0;25;0;3565;2015-12-30 08:39:30;0;0
_5TQ0XEVY0;0;0;26;1;861;2015-12-30 09:09:53;0;0
_5v9ooNFUV;1;0;166;5;4454;2015-12-30 13:20:40;0;0
_5WTi4x4sJ;0;0;1126;23;11673;2015-12-30 09:36:28;0;0
_5xLgkNgr0;0;0;31;1;883;2015-12-30 13:31:18;0;0
_6bjIbo0Fh;1;0;39;7;5817;2015-12-30 19:41:32;0;0
_6lkfGAvGo;1;0;38;3;2256;2015-12-30 21:09:06;0;0
_6loHHr5Qx;1;0;0;0;285;2015-12-30 21:09:35;0;0
_6Lr3xHThW;1;0;111;31;1444;2015-12-30 17:22:55;0;0
_6qJhNoYAr;0;0;515;4;46241;2015-12-30 21:49:06;0;0
_6rsAMmtGX;1;0;167;11;2022;2015-12-30 22:02:33;0;0
_6sDXLx3CZ;1;0;6;1;209;2015-12-30 22:05:44;0;0
_6Sz3VJYEF;1;0;75;3;3064;2015-12-30 18:25:10;0;0
_6waxRtOIL;0;0;239;2;650;2015-12-30 22:43:53;0;0
_73y_8Jt4m;0;0;47;0;17259;2015-12-31 09:07:36;0;0
_79eTgpUmF;1;0;155;10;20341;2015-12-31 09:57:12;0;0
_7jCr_R4p8;0;0;1034;21;11673;2015-12-31 06:06:15;0;0
_7Of-KBwQC;1;0;4;0;340;2015-12-31 03:06:44;0;0
_7v_z2vaOR;1;0;232;20;9418;2015-12-31 07:59:27;0;0
_7xWflrRvo;1;0;144;17;4653;2015-12-31 08:11:17;0;0
_83vUQhfvz;1;0;4;0;866;2015-12-31 18:26:20;0;0
_844A8iuUH;0;0;177;3;1172433;2015-12-31 18:36:16;0;0
_84npYq5FE;1;0;39;6;26767;2015-12-31 18:34:02;0;0
_88v67kMN-;1;0;45;16;661;2015-12-31 19:10:07;0;0
_8dYQpiuZ1;0;0;172;2;1172433;2015-12-31 14:36:00;0;0
_8G3g_ymtV;1;0;8;0;435;2015-12-31 11:19:17;0;0
_8gAoUNcvk;0;0;9;1;412;2015-12-31 14:58:59;0;0
_8L_KoP1Ra;1;0;28;9;1399;2015-12-31 12:04:02;0;0
_8ostKkik8;1;0;28;1;9933;2015-12-31 16:14:55;0;0
_8talEmWyH;1;0;102;0;11167;2015-12-31 16:56:08;0;0
_8TuAhMRCp;1;0;83;12;9365;2015-12-31 13:11:35;0;0
_8vZwMFLtl;0;0;98;15;14865;2015-12-31 17:13:29;0;0
_97k48Tgut;1;0;17;0;1526;2016-01-01 04:19:07;0;0
_98hyrrC8i;1;0;9201;137;687001;2015-12-31 19:27:25;0;0
_9AezVphGl;1;0;7;0;412;2015-12-31 19:42:44;0;0
_9CmBzHccr;1;0;294;7;9122;2015-12-31 20:01:11;0;0
_9dE5tM57E;1;0;1362;111;21592;2015-12-31 14:52:37;0;0
_9h4yeEinn;1;0;114;5;5849;2016-01-01 00:34:38;0;0
