channel_id,engagement_rate,engagement_rate_ad_o,engagement_rate_ad_x,avg_subs_increment_rate,avg_views_increment_rate,Reactivity,Reliability,Scalability,sentiment_category,sentiment_prop,big_topic
UC0awE5h5rIOFh52li-lZObg,0.0434821,0.0749265,0.0434821,100.056,100.037,44,3,41,긍정적,4.32491,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UC3d_8LhMCYir5GUu5_B3J5Q,0.0366226,0.120638,0.0366226,100.076,101.103,32,4,41,"약간 긍정적",3.18477,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['개그', '재미', '코미디']]]"
UC3EnbFx6mBs2QPJ_BYqQm6g,0.0339443,0.0590921,0.0330772,100,100.141,35,2,63,"약간 긍정적",3.24133,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UC43EFvC4FNZD9ZAcWq3k2eA,0.0266477,0.120638,0.0266477,100.012,100.144,39,4,60,"약간 긍정적",3.78408,"[[['키즈', '장난감', '육아'], ['음식', '요리', '레시피', '식품 '], ['피트니스', '헬스', '운동', '다이어트']]]"
UC4wzDI8tetWUqPUoMQJSNrQ,0.0513657,0.0699081,0.0513657,100.054,100.079,33,2,41,"약간 긍정적",3.20687,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['헤어']]]"
UC57_jVZTM427hTqYMXf7utA,0.0344181,0.0699081,0.0344181,100.159,0,34,2,33,"약간 긍정적",3.22917,"[[['피트니스', '헬스', '운동', '다이어트'], ['키즈', '장난감', '육아'], ['개그', '재미', '코미디']]]"
UC58GUNps_MNTjEguFA1bThA,0.0179635,0.0699081,0.0179635,100.077,100.096,34,4,63,"약간 긍정적",3.2058,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UC5TJGSApJo7dM52PMBpKYew,0.0448478,0.0699081,0.0448478,100.258,0,39,1,33,"약간 긍정적",3.68187,"[[['키즈', '장난감', '육아'], ['헤어'], ['패션', '옷차림']]]"
UC5tlHwbUnxart0QV_kFI7lA,0.0848801,0.0699081,0.0848801,100.105,100.058,50,3,60,긍정적,4.50271,"[[['개그', '재미', '코미디'], ['TV', '영화', '드라마', '웹툰'], ['키즈', '장난감', '육아']]]"
UC8cBqbVAQVltRE039s_H6nA,0.0272788,0.0630306,0.0272788,100,100.035,43,3,63,긍정적,4.08798,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['뷰티', '화장품']]]"
UC9G7V6-HU_Cg7-yWLO1rH6w,0.0371862,0.0630306,0.0371862,99.9843,100.026,33,3,60,"약간 긍정적",3.08299,"[[['개그', '재미', '코미디'], ['TV', '영화', '드라마', '웹툰'], ['키즈', '장난감', '육아']]]"
UCAnoDg9pnvrNalHRTZrnELw,0.0289706,0.0838709,0.0289706,100.01,100.047,39,3,63,"약간 긍정적",3.63758,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['개그', '재미', '코미디']]]"
UCAUbDYDwV34yk6pYiZg_CzA,0.0257721,0.0838709,0.0257721,99.9907,100.005,26,4,60,"약간 부정적",2.47607,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCaxyM3FMUgdIcP0iPZl0FGg,0.0332244,0.0655197,0.0332244,100.41,100.136,16,3,41,부정적,1.58663,"[[['키즈', '장난감', '육아'], ['뷰티', '화장품'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCB0iI4S727iXExTQvEVG4UQ,0.0286687,0.0838709,0.0286687,99.9909,100.005,35,2,60,"약간 긍정적",3.32392,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCChdHmdkgTpk0iyuODYxJIw,0.0625579,0.118316,0.0625579,100.078,100.07,41,4,63,"약간 긍정적",3.57432,"[[['키즈', '장난감', '육아'], ['뷰티', '화장품'], ['패션', '옷차림']]]"
UCDaYQyEp5BEbSo_gGUlFRaw,0.013099,0.0577327,0.013099,99.9779,100.023,35,3,59,"약간 긍정적",3.44372,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCDCvlVx1noYrb0rNN9N6Yqg,0.0387329,0.118316,0.0387329,100.134,100.02,40,4,60,"약간 긍정적",3.76602,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCE7q5DzYcRYWObUNIpdO70A,0.0293556,0.0577327,0.0293556,100.026,100.107,27,3,60,"약간 부정적",2.56327,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['TV', '영화', '드라마', '웹툰']]]"
UCEZVKV0mCLuR83k7A9NyINg,0.0243259,0.0577327,0.0243259,100.029,100.077,37,3,63,"약간 긍정적",3.45131,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCFQqnvzajn7eDCbyE1qWgfg,0.0280604,0.065094,0.0280604,100.171,100.303,36,3,41,"약간 긍정적",3.50821,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['뷰티', '화장품']]]"
UCH2mJnztSdNh8ADp2KmtUMQ,0.0225752,0.065094,0.0225752,100.059,100.044,34,3,60,"약간 긍정적",3.24692,"[[['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트'], ['키즈', '장난감', '육아']]]"
UCHUkpUuH7O3U7eIx93tMUwA,0.0251174,0.0573177,0.0251174,100.055,100.1,34,2,63,"약간 긍정적",3.20371,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['헤어']]]"
UCJC3eND1vV_MR_UJB7-E9LQ,0.03454,0.0640366,0.03454,100.287,100.376,37,2,60,"약간 긍정적",3.52038,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCKxsnH8o2fymQDymR0-5MNw,0.0258727,0.0822128,0.0258727,100.023,100.065,36,3,63,"약간 긍정적",3.32898,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCNu8ssRlSFYPIfMS2m4ifyA,0.0348187,0.0909691,0.0348187,100,100.429,36,3,41,"약간 긍정적",3.51189,"[[['피트니스', '헬스', '운동', '다이어트'], ['개그', '재미', '코미디'], ['키즈', '장난감', '육아']]]"
UCOXwa89dRl8iF9Z02-rZENw,0.0138821,0.0756751,0.0138821,100.02,100.047,34,4,41,"약간 긍정적",3.39736,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['스포츠', '야외활동', '캠핑']]]"
UCOzxM1-t3e-TgoQp6nZGWsQ,0.0314467,0.0756751,0.0314467,100.023,100.036,39,2,63,"약간 긍정적",3.79351,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCPMw_1TUgWi7HyQXEqlO8PQ,0.0329106,0.0756751,0.0329106,100.118,100.212,34,3,63,"약간 긍정적",3.16557,"[[['패션', '옷차림'], ['피트니스', '헬스', '운동', '다이어트'], ['헤어']]]"
UCR19aHW_92TAKGLoTH01Z7w,0.0331697,0.0560047,0.0331697,99.9876,100.364,32,2,41,"약간 긍정적",3.10585,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['뷰티', '화장품']]]"
UCT1MM1P7-CTZHO-LZLNbH5A,0.0336461,0.078788,0.0336461,100.056,100.009,35,4,41,"약간 긍정적",3.42091,"[[['패션', '옷차림'], ['키즈', '장난감', '육아'], ['헤어']]]"
UCUrCIBJ3ScRAOLgPElscZqA,0.0295478,0.0856823,0.0295478,100.352,100.323,36,3,61,"약간 긍정적",3.44887,"[[['피트니스', '헬스', '운동', '다이어트'], ['개그', '재미', '코미디'], ['키즈', '장난감', '육아']]]"
UCV3D6OehJPsejAvhz6bDYfA,0.0226937,0.0856823,0.0226937,100.029,100.08,42,2,60,긍정적,4.07506,"[[['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트'], ['키즈', '장난감', '육아']]]"
UCW61wo97HWu_TmmJEOiflrw,0.0208915,0.0655197,0.0208915,100,100.078,39,2,60,"약간 긍정적",3.73525,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['개그', '재미', '코미디']]]"
UCW67yGQxNNMnLqRHyaTjygA,0.039843,0.0655197,0.039843,100.03,100.072,43,2,63,"약간 긍정적",3.97941,"[[['개그', '재미', '코미디'], ['패션', '옷차림'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCWAGyolTIz5RjfDtY1JrOXg,0.0239034,0.0655197,0.0239034,99.9957,100.04,38,3,63,"약간 긍정적",3.54614,"[[['개그', '재미', '코미디'], ['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트']]]"
UCY2YdDn7zXtRbNR0fJ9V_YQ,0.0285829,0.0655197,0.0285829,100.216,100.115,18,2,60,부정적,1.58663,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['패션', '옷차림']]]"
UCYUUPZ6nD_OHpVfViJwRFDA,0.0463886,0.0655197,0.0463886,100.292,100.65,17,2,41,부정적,1.58663,"[[['키즈', '장난감', '육아'], ['피트니스', '헬스', '운동', '다이어트'], ['패션', '옷차림']]]"
UCZFKgRGh8IPGAp8IvUO_atg,0.00872228,0.114206,0.0050849,100.037,100.048,16,4,60,부정적,1.58663,"[[['키즈', '장난감', '육아'], ['개그', '재미', '코미디'], ['피트니스', '헬스', '운동', '다이어트']]]"
